n,	e
965,	20.899976
966,	20.904031
967,	20.908082
968,	20.912129
969,	20.916171
970,	20.920210
971,	20.924245
972,	20.928275
973,	20.932301
974,	20.936324
975,	20.940342
976,	20.944356
977,	20.948366
978,	20.952372
979,	20.956375
980,	20.960373
981,	20.964367
982,	20.968357
983,	20.972343
984,	20.976325
985,	20.980304
986,	20.984278
987,	20.988248
988,	20.992214
989,	20.996177
990,	21.000135
991,	21.004090
992,	21.008041
993,	21.011987
994,	21.015930
995,	21.019869
996,	21.023804
997,	21.027736
998,	21.031663
999,	21.035586
1000,	21.039506
1001,	21.043422
1002,	21.047334
1003,	21.051242
1004,	21.055146
1005,	21.059047
1006,	21.062943
1007,	21.066836
1008,	21.070725
1009,	21.074611
1010,	21.078492
1011,	21.082370
1012,	21.086244
1013,	21.090114
1014,	21.093981
1015,	21.097844
1016,	21.101703
1017,	21.105558
1018,	21.109410
1019,	21.113257
1020,	21.117102
1021,	21.120942
1022,	21.124779
1023,	21.128612
1024,	21.132441
1025,	21.136267
1026,	21.140089
1027,	21.143908
1028,	21.147723
1029,	21.151534
1030,	21.155341
1031,	21.159145
1032,	21.162945
1033,	21.166742
1034,	21.170535
1035,	21.174325
1036,	21.178111
1037,	21.181893
1038,	21.185672
1039,	21.189447
1040,	21.193218
1041,	21.196986
1042,	21.200751
1043,	21.204512
1044,	21.208269
1045,	21.212023
1046,	21.215773
1047,	21.219520
1048,	21.223264
1049,	21.227003
1050,	21.230740
1051,	21.234473
1052,	21.238202
1053,	21.241928
1054,	21.245650
1055,	21.249369
1056,	21.253085
1057,	21.256797
1058,	21.260505
1059,	21.264210
1060,	21.267912
1061,	21.271610
1062,	21.275305
1063,	21.278997
1064,	21.282685
1065,	21.286369
1066,	21.290051
1067,	21.293728
1068,	21.297403
1069,	21.301074
1070,	21.304742
1071,	21.308406
1072,	21.312067
1073,	21.315725
1074,	21.319379
1075,	21.323030
1076,	21.326678
1077,	21.330322
1078,	21.333963
1079,	21.337601
1080,	21.341235
1081,	21.344866
1082,	21.348494
1083,	21.352119
1084,	21.355740
1085,	21.359358
1086,	21.362972
1087,	21.366584
1088,	21.370192
1089,	21.373797
1090,	21.377398
1091,	21.380997
1092,	21.384592
1093,	21.388184
1094,	21.391773
1095,	21.395358
1096,	21.398940
1097,	21.402519
1098,	21.406095
1099,	21.409668
1100,	21.413237
1101,	21.416804
1102,	21.420367
1103,	21.423927
1104,	21.427483
1105,	21.431037
1106,	21.434588
1107,	21.438135
1108,	21.441679
1109,	21.445220
1110,	21.448758
1111,	21.452293
1112,	21.455824
1113,	21.459353
1114,	21.462878
1115,	21.466401
1116,	21.469920
1117,	21.473436
1118,	21.476949
1119,	21.480459
1120,	21.483966
1121,	21.487469
1122,	21.490970
1123,	21.494468
1124,	21.497962
1125,	21.501454
1126,	21.504942
1127,	21.508428
1128,	21.511910
1129,	21.515390
1130,	21.518866
1131,	21.522340
1132,	21.525810
1133,	21.529277
1134,	21.532741
1135,	21.536203
1136,	21.539661
1137,	21.543117
1138,	21.546569
1139,	21.550018
1140,	21.553465
1141,	21.556908
1142,	21.560349
1143,	21.563786
1144,	21.567221
1145,	21.570652
1146,	21.574081
1147,	21.577507
1148,	21.580930
1149,	21.584349
1150,	21.587766
1151,	21.591180
1152,	21.594592
