n, e
1061, 21.27161035
1062, 21.27530522
1063, 21.27899667
1064, 21.28268471
1065, 21.28636935
1066, 21.29005060
1067, 21.29372846
1068, 21.29740294
1069, 21.30107404
1070, 21.30474178
1071, 21.30840615
1072, 21.31206716
1073, 21.31572483
1074, 21.31937915
1075, 21.32303013
1076, 21.32667778
1077, 21.33032210
1078, 21.33396310
1079, 21.33760079
1080, 21.34123517
1081, 21.34486625
1082, 21.34849404
1083, 21.35211853
1084, 21.35573974
1085, 21.35935768
1086, 21.36297234
1087, 21.36658373
1088, 21.37019187
1089, 21.37379675
1090, 21.37739839
1091, 21.38099678
1092, 21.38459193
1093, 21.38818386
1094, 21.39177256
1095, 21.39535804
1096, 21.39894031
1097, 21.40251937
1098, 21.40609523
1099, 21.40966790
1100, 21.41323737
1101, 21.41680366
1102, 21.42036677
1103, 21.42392671
1104, 21.42748349
1105, 21.43103710
1106, 21.43458755
1107, 21.43813486
1108, 21.44167902
1109, 21.44522004
1110, 21.44875793
1111, 21.45229269
1112, 21.45582432
1113, 21.45935284
1114, 21.46287825
1115, 21.46640056
1116, 21.46991976
1117, 21.47343587
1118, 21.47694889
1119, 21.48045883
1120, 21.48396569
1121, 21.48746947
1122, 21.49097019
1123, 21.49446785
1124, 21.49796245
1125, 21.50145399
1126, 21.50494250
1127, 21.50842796
1128, 21.51191038
1129, 21.51538978
1130, 21.51886615
1131, 21.52233950
1132, 21.52580984
1133, 21.52927717
1134, 21.53274150
1135, 21.53620282
1136, 21.53966116
1137, 21.54311650
1138, 21.54656887
1139, 21.55001825
1140, 21.55346467
1141, 21.55690811
1142, 21.56034860
1143, 21.56378612
1144, 21.56722070
1145, 21.57065233
1146, 21.57408101
1147, 21.57750676
1148, 21.58092958
1149, 21.58434947
1150, 21.58776644
1151, 21.59118050
1152, 21.59459164
1153, 21.59799987
1154, 21.60140521
1155, 21.60480765
1156, 21.60820719
1157, 21.61160385
1158, 21.61499763
1159, 21.61838853
1160, 21.62177656
1161, 21.62516172
1162, 21.62854402
1163, 21.63192346
1164, 21.63530005
1165, 21.63867379
1166, 21.64204469
1167, 21.64541275
1168, 21.64877798
1169, 21.65214038
1170, 21.65549995
1171, 21.65885671
1172, 21.66221065
1173, 21.66556179
1174, 21.66891012
1175, 21.67225564
1176, 21.67559838
1177, 21.67893832
1178, 21.68227548
1179, 21.68560986
1180, 21.68894146
1181, 21.69227028
1182, 21.69559634
1183, 21.69891964
1184, 21.70224018
1185, 21.70555797
1186, 21.70887301
1187, 21.71218530
1188, 21.71549486
1189, 21.71880167
1190, 21.72210576
1191, 21.72540713
1192, 21.72870577
1193, 21.73200169
1194, 21.73529490
1195, 21.73858541
1196, 21.74187321
1197, 21.74515831
1198, 21.74844071
1199, 21.75172043
1200, 21.75499746
1201, 21.75827181
1202, 21.76154348
1203, 21.76481248
1204, 21.76807881
1205, 21.77134248
1206, 21.77460349
1207, 21.77786184
1208, 21.78111755
1209, 21.78437060
1210, 21.78762102
1211, 21.79086879
1212, 21.79411394
1213, 21.79735645
1214, 21.80059634
1215, 21.80383361
1216, 21.80706826
1217, 21.81030030
1218, 21.81352974
1219, 21.81675656
1220, 21.81998079
1221, 21.82320243
1222, 21.82642147
1223, 21.82963793
1224, 21.83285180
1225, 21.83606310
1226, 21.83927182
1227, 21.84247797
1228, 21.84568156
1229, 21.84888258
1230, 21.85208105
1231, 21.85527696
1232, 21.85847033
1233, 21.86166114
1234, 21.86484942
1235, 21.86803516
1236, 21.87121836
1237, 21.87439904
1238, 21.87757719
1239, 21.88075282
1240, 21.88392594
1241, 21.88709654
1242, 21.89026463
1243, 21.89343021
1244, 21.89659330
1245, 21.89975388
1246, 21.90291198
1247, 21.90606758
1248, 21.90922070
1249, 21.91237134
1250, 21.91551950
1251, 21.91866519
1252, 21.92180841
1253, 21.92494916
1254, 21.92808745
1255, 21.93122329
1256, 21.93435666
1257, 21.93748759
1258, 21.94061608
1259, 21.94374211
1260, 21.94686572
1261, 21.94998688
1262, 21.95310562
1263, 21.95622192
